sample_ID,culture_ID,Habitat,Location,Continent,Substrate,Lat,Long,Altitude (m),Pylum,Class,Order,Family,Genus,Species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
C1,Aetokthonos_hydrillicola_B3-Florida,Aquatic_epiphyte,"South Carolina,
USA",North America,fresh water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
C2,Aphanocapsa_lilacina_HA4352-LM1,Cave_rock_wall,"Hawaii,
USA",Pacific Islands,subaerial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
C3,Aphanocapsa_sp._GSE-SYN-MK-11-07L,Desert_wet_wall,"Utah,
USA",North America,subaerial,37.8291,-111.42,1755,Cyanobacteria,unclassified,Synechococcales,unclassified,unclassified,"""Aphanocapsa"" sp.",10.2,155,38,8580,317,-88,405,206,142,214,-7,220,33,9,32,81,37,66,46
C4,Aphanothece_saxicola_GSE-SYN-MK-01-06B,Desert_wet_wall,"Utah,
USA",North America,subaerial,37.6093,-111.8978,2043,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Cyanobium,"""Aphanothece saxicola""",7,165,41,7844,282,-113,395,167,104,173,-28,296,44,12,31,106,48,88,69
C5,Aphanothece_sp._CMT-3BRIN-NPC111,Desert_soil,"California,
USA",North America,soil,35.5039,-115.6922,1084,Cyanobacteria,unclassified,Oscillatoriales,unclassified,unclassified,"""Aphanothece"" sp.",16.6,144,39,7974,365,-2,367,84,200,272,68,162,25,3,43,54,18,45,52
C6,Brasilonema_angustatum_HA4187-MV1,Tropical_soil,"Hawaii,
USA",Pacific Islands,soil,21.311,-157.823,229,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema angustatum,23.4,81,65,1387,294,171,123,223,250,250,216,1706,192,89,26,562,300,300,501
C7,Brasilonema_octagenarum_HA4186-MV1,On_wood_tropica,"Hawaii,
USA",Pacific Islands,subaerial,21.311,-157.823,229,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,23.4,81,65,1387,294,171,123,223,250,250,216,1706,192,89,26,562,300,300,501
C8,Calothrix_sp._FI2-JRJ7,Desert_soil,"California,
USA",North America,soil,35.3619,-116.3226,654,Cyanobacteria,unclassified,Nostocales,Calotrichaceae,Calothrix,Calothrix desertica,19.2,158,40,8237,400,9,391,109,228,300,90,96,14,1,42,34,9,25,33
C9,Chroococcus_sp._CMT-3BRIN-NPC107,Desert_soil,"California,
USA",North America,soil,35.5039,-115.6922,1084,Cyanobacteria,unclassified,Chroococcidiopsidales,Aliterellaceae,Aliterella,"""Chroococcus"" sp.",16.6,144,39,7974,365,-2,367,84,200,272,68,162,25,3,43,54,18,45,52
C10,Cyanomargarita_calcarea_GSE-NOS-MK-12-04C,Desert_wet_wall,"Utah,
USA",North America,subaerial,37.48,-112.09,1873,Cyanobacteria,unclassified,Nostocales,Cyanomargaritaceae,Cyanomargarita,Cyanomargarita calcarea,8.9,170,43,7764,303,-92,395,185,123,192,-8,294,40,11,27,97,46,80,76
C11,Cyanosarcina_radialis_HA8281-LM2,Cave_rock_wall,"Hawaii,
USA",Pacific Islands,subaerial,21.8883,-159.4188,11,Cyanobacteria,unclassified,unclassified,unclassified,unclassified,Cyanosarcina radialis,23.6,82,65,1484,298,172,126,224,251,253,216,1291,158,65,29,461,224,233,366
C12,Desmonostoc_geniculatum_HA4340-LM1,Cave_rock_wall,"Hawaii,
USA",Pacific Islands,subaerial,22.2199,-159.566,21,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Desmonostoc,Desmonostoc geniculatum,23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
C13,Desmonostoc_vinosum_HA7617-LM4,Cave_rock_wall,"Hawaii,
USA",Pacific Islands,subaerial,22.2202,-159.5794,106,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Desmonostoc,Desmonostoc vinosum,23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
C14,Drouetiella_hepatica_UHER_2000_2452,Rock_surface,"Kosice,
Slovakia",Europe,subaerial,48.9513,20.3835,701,Cyanobacteria,unclassified,Synechococcales,Oculatellaceae.,Drouetiella,Drouetiella hepatica,5.2,94,31,7123,202,-94,296,125,-32,140,-43,779,114,36,41,306,111,306,114
C15,Gloeocapsa_sp._UFS-A4-WI-NPMV-4B0,Desert_soil,"Utah,
USA",North America,soil,40.23,-112.4652,1687,Cyanobacteria,unclassified,Chroococcidiopsidales,unclassified,Gloeocapsa,Gloeocapsa sp.,8.5,145,35,8742,309,-95,404,70,202,202,-23,379,42,24,19,122,75,75,86
C16,Goleter_apudmare_HA4340-LM2,Cave_rock_wall,"Hawaii,
USA",Pacific Islands,subaerial,22.2199,-159.566,21,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Goleter,Goleter apudmare,23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
C17,Hassallia_sp._WJT32-NPBG1,Desert_soil,"California,
USA",North America,soil,34.0997,-115.455,623,Cyanobacteria,unclassified,Nostocales,Tolypothrichaceae,"""Hassallia""",unclassified,21,141,39,7683,400,47,353,306,242,312,116,120,21,1,48,46,8,35,37
C18,Hormoscilla_sp._CMT-3BRIN-NPC48,Desert_soil,"California,
USA",North America,soil,35.5039,-115.6922,1084,Cyanobacteria,unclassified,Oscillatoriales,Gomontiellaceae,Hormoscilla,unclassified,16.6,144,39,7974,365,-2,367,84,200,272,68,162,25,3,43,54,18,45,52
C19,Iphinoe_sp._HA4291-MV1,Tropical_soil,"Hawaii,
USA",Pacific Islands,soil,21.3515,-157.769,136,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Iphinoe,unclassified,22.8,79,65,1361,288,167,121,218,245,245,211,2504,276,140,21,757,492,492,684
C20,Kaiparowitsia_implicata_GSE-PSE-MK54-09C,Desert_wet_wall,"Utah,
USA",North America,subaerial,37.543,-111.6405,1880,Cyanobacteria,unclassified,Synechococcales,Oculatellaceae.,Kaiparowitsia,Kaiparowitsia implicata,8.3,155,39,8085,292,-98,390,182,119,189,-19,270,40,11,31,96,43,80,64
C21,Kastovskya_adunca_ATA6-11-RM4,Desert_soil,"Atacama,
Chile",South America,soil,-26.1119,-70.6479,340,Cyanobacteria,unclassified,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,18.7,90,54,2484,270,104,166,154,219,219,154,17,5,0,90,13,0,0,13
C22,Komarekiella_atlantica_HA4396-MV6,Tropical_vernal_pool,"Hawaii,
USA",Pacific Islands,hydroterrestrial,21.9156,-159.51,117,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Komarekiella,Komarekiella atlantica,23.1,85,66,1467,294,167,127,220,246,249,212,1446,174,72,28,509,261,269,411
C23,Lyngbya_sp._HA4199-MV5,Tropical_soil,"Hawaii,
USA",Pacific Islands,soil,21.542,-157.884,28,Cyanobacteria,unclassified,Synechococcales,Leptolyngbyaceae,unclassified,"""Lyngbya"" sp.",22.9,81,65,1370,292,168,124,220,242,246,212,2128,228,109,23,659,403,408,635
C24,Microcoleus_vaginatus_WJT46-NPBG5,Desert_soil,"California,
USA",North America,soil,33.8188,-115.7638,794,Cyanobacteria,unclassified,Oscillatoriales,Microcoleaceae,Microcoleus,Microcoleus vaginatus,18.7,155,43,7268,382,27,355,112,214,284,100,167,26,1,49,57,12,42,56
C25,Mojavia_pulchra_JT2-VF2,Desert_soil,"California,
USA",North America,soil,34.1098,-115.4803,692,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Mojavia,Mojavia pulchra,20.3,142,40,7587,393,42,351,298,233,303,110,136,23,1,48,51,9,39,42
C26,Myxacorys_californica_WJT36-NPBG1,Desert_soil,"California,
USA",North America,soil,34.0413,-116.145,1332,Cyanobacteria,unclassified,Synechococcales,Leptolyngbyaceae,Myxacorys,Myxacorys californica,14.9,157,45,6818,343,-1,344,78,215,241,69,311,44,2,52,129,30,50,125
C27,Myxacorys_chilensis_ATA2-1-KO14,Desert_soil,"Coquimbo,
Chile",South America,soil,-29.3164,-71.2486,222,Cyanobacteria,unclassified,Synechococcales,Leptolyngbyaceae,Myxacorys,Myxacorys chilensis,15,97,58,2404,238,71,167,125,181,181,120,66,18,0,108,46,0,0,44
C28,Nodosilinea_sp._WJT8-NPBG4,Desert_soil,"California,
USA",North America,soil,33.893,-115.798,564,Cyanobacteria,unclassified,Synechococcales,Prochlorotrichaceae,Nodosilinea,unclassified,20.4,158,43,7434,400,36,364,299,234,302,114,119,20,0,53,44,7,32,39
C29,Nostoc_desertorum_CM1-VF14,Desert_soil,"California,
USA",North America,gypsiferous soil,35.635,-115.5124,1048,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Nostoc,Nostoc desertorum,17.1,144,38,8103,371,0,371,87,205,277,71,153,23,3,42,51,17,42,48
C30,Nostoc_indistinguendum_CM1-VF10,Desert_soil,"California,
USA",North America,gypsiferous soil,35.635,-115.5124,1048,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Nostoc,Nostoc indistinguendum,17.1,144,38,8103,371,0,371,87,205,277,71,153,23,3,42,51,17,42,48
C31,Oscillatoria_princeps_RMCB-10,Surface_water,"Lower Austria,
Austria",Europe,fresh water,47.8529,15.0398,613,Cyanobacteria,unclassified,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria princeps,6.2,95,32,7132,219,-75,294,152,-18,152,-31,967,132,47,36,375,159,375,159
C32,Oscillatoria_tanganyikae_FI6-MK23,Desert_soil,"California,
USA",North America,granitic soil,35.1642,-116.8729,839,Cyanobacteria,unclassified,Synechococcales,Leptolyngbyaceae,unclassified,"""Oscillatoria tanganyikae""",17.8,158,41,7912,385,3,382,97,210,282,80,106,16,1,49,43,10,21,42
C33,Pegethrix_bostrychoides_GSE-TBD4-15B,Desert_wet_wall,"Utah,
USA",North America,subaerial,37.3202,-111.5307,1541,Cyanobacteria,unclassified,Synechococcales,Oculatellaceae.,Pegethrix,Pegethrix bostrychoides,11.8,148,37,8667,331,-67,398,222,159,231,7,173,25,7,29,60,28,50,42
C34,Pelatocladus_maniniholoensis_HA4357-MV3,Cave_rock_wall,"Hawaii,
USA",Pacific Islands,subaerial,22.2199,-159.566,21,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Pelatocladus,Pelatocladus maniniholoensis,23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
C35,Plectolyngbya_sp._WJT66-NPBG17,Desert_soil,"California,
USA",North America,soil,34.0655,-116.1702,1273,Cyanobacteria,unclassified,Synechococcales,Leptolyngbyaceae,unclassified,Plectolyngbya sp.,15.4,159,45,6858,349,1,348,82,219,245,73,299,42,2,51,122,29,48,120
C36,Pleurocapsa_minor_GSE-CHR-MK-17-07R,Desert_wet_wall,"Utah,
USA",North America,subaerial,37.8291,-111.42,1755,Cyanobacteria,unclassified,Pleurocapsales,Pleurocapsaceae,Pleurocapsa,Pleurocapsa minor,10.2,155,38,8580,317,-88,405,206,142,214,-7,220,33,9,32,81,37,66,46
C37,Pleurocapsa_minor_HA4230-MV1,Tropical_rock_wall,"Hawaii,
USA",Pacific Islands,subaerial,21.367,-157.792,389,Cyanobacteria,unclassified,Pleurocapsales,Pleurocapsaceae,Pleurocapsa,Pleurocapsa minor,21.9,82,66,1376,280,156,124,210,235,235,201,3229,342,190,18,943,666,681,843
C38,Scytolyngbya_sp._HA4215-MV1,Freshwater_stream,"Hawaii,
USA",Pacific Islands,fresh water,21.6028,-157.956,610,Cyanobacteria,unclassified,Synechococcales,Leptolyngbyaceae,Scytolyngbya,Scytolyngbya sp.,22,83,65,1378,284,158,126,210,237,237,202,2335,253,118,23,711,445,456,704
C39,Scytonema_hyalinum_WJT4-NPBG1,Desert_soil,"California,
USA",North America,soil,33.9461,-115.9036,619,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Scytonema,Scytonema hyalinum,20.1,161,43,7403,398,32,366,295,230,298,111,128,20,1,48,45,9,33,42
C40,Scytonematopsis_contorta_HA4267-MV1,Tropical_vernal_pool,"Hawaii,
USA",Pacific Islands,hydroterrestrial,21.323,-157.772,339,Cyanobacteria,unclassified,Nostocales,unclassified,Scytonematopsis,Scytonematopsis contorta,22.1,81,65,1362,282,159,123,212,236,237,203,2985,317,169,19,867,603,614,792
C41,Spirirestis_raphaelensis_WJT71-NPBG6,Desert_soil,"California,
USA",North America,soil,33.9755,-115.3947,500,Cyanobacteria,unclassified,Nostocales,Tolypothrichaceae,Spirirestis,Spirirestis raphaelensis,21.2,140,40,7626,399,49,350,308,243,313,119,119,21,1,53,46,7,35,37
